Sample:float,Data:float
"0.0","0.0"
"1.0","0.0"
"2.0","0.0"
"3.0","0.0"
"4.0","0.0"
"5.0","0.0"
"6.0","0.0"
"7.0","0.0"
"8.0","0.0"
"9.0","0.0"
"10.0","0.0"
"11.0","0.0"
"12.0","0.0"
"13.0","0.0"
"14.0","0.0"
"15.0","0.0"
"16.0","0.0"
"17.0","0.0"
"18.0","0.0"
"19.0","0.0"
"20.0","0.0"
"21.0","0.0"
"22.0","0.0"
"23.0","105.556640625"
"24.0","131.748046875"
"25.0","189.052734375"
"26.0","243.017578125"
"27.0","271.40625"
"28.0","271.58203125"
"29.0","267.978515625"
"30.0","267.802734375"
"31.0","267.802734375"
"32.0","267.802734375"
"33.0","267.802734375"
"34.0","267.802734375"
"35.0","267.802734375"
"36.0","267.802734375"
"37.0","267.802734375"
"38.0","267.802734375"
"39.0","267.802734375"
"40.0","267.802734375"
"41.0","267.802734375"
"42.0","267.802734375"
"43.0","267.802734375"
"44.0","267.802734375"
"45.0","267.802734375"
"46.0","267.802734375"
"47.0","267.802734375"
"48.0","267.890625"
"49.0","267.802734375"
"50.0","267.802734375"
"51.0","267.802734375"
"52.0","267.802734375"
"53.0","267.802734375"
"54.0","267.802734375"
"55.0","267.802734375"
"56.0","267.802734375"
"57.0","267.802734375"
"58.0","267.802734375"
"59.0","267.802734375"
"60.0","267.802734375"
"61.0","267.802734375"
"62.0","267.802734375"
"63.0","267.802734375"
"64.0","267.802734375"
"65.0","267.802734375"
"66.0","267.802734375"
"67.0","267.802734375"
"68.0","267.802734375"
"69.0","267.802734375"
"70.0","267.802734375"
"71.0","267.802734375"
"72.0","267.802734375"
"73.0","267.802734375"
"74.0","267.802734375"
"75.0","267.802734375"
"76.0","267.802734375"
"77.0","267.802734375"
"78.0","267.890625"
"79.0","267.890625"
"80.0","267.802734375"
"81.0","267.802734375"
"82.0","267.802734375"
"83.0","267.802734375"
"84.0","267.802734375"
"85.0","267.802734375"
"86.0","267.802734375"
"87.0","267.802734375"
"88.0","267.802734375"
"89.0","267.802734375"
"90.0","267.802734375"
"91.0","267.802734375"
"92.0","267.802734375"
"93.0","267.802734375"
"94.0","267.802734375"
"95.0","267.802734375"
"96.0","267.802734375"
"97.0","267.802734375"
"98.0","267.802734375"
"99.0","267.802734375"
"100.0","267.802734375"
"101.0","267.802734375"
"102.0","267.890625"
"103.0","267.802734375"
"104.0","267.802734375"
"105.0","267.802734375"
"106.0","267.802734375"
"107.0","267.802734375"
"108.0","267.802734375"
"109.0","267.802734375"
"110.0","267.802734375"
"111.0","267.890625"
"112.0","267.802734375"
"113.0","267.802734375"
"114.0","267.802734375"
"115.0","267.802734375"
"116.0","267.802734375"
"117.0","267.802734375"
"118.0","267.802734375"
"119.0","267.802734375"
"120.0","267.802734375"
"121.0","267.802734375"
"122.0","267.802734375"
"123.0","267.802734375"
"124.0","267.890625"
"125.0","267.802734375"
"126.0","267.802734375"
"127.0","267.890625"
"128.0","267.802734375"
"129.0","267.802734375"
"130.0","267.802734375"
"131.0","267.802734375"
"132.0","267.802734375"
"133.0","267.802734375"
"134.0","267.802734375"
"135.0","267.802734375"
"136.0","267.890625"
"137.0","267.802734375"
"138.0","267.802734375"
"139.0","267.802734375"
"140.0","267.802734375"
"141.0","267.802734375"
"142.0","267.802734375"
"143.0","267.890625"
"144.0","267.802734375"
"145.0","267.802734375"
"146.0","267.802734375"
"147.0","267.802734375"
"148.0","267.890625"
"149.0","267.802734375"
"150.0","267.802734375"
"151.0","267.802734375"
"152.0","267.802734375"
"153.0","267.802734375"
"154.0","267.802734375"
"155.0","267.802734375"
"156.0","267.802734375"
"157.0","267.802734375"
"158.0","267.802734375"
"159.0","267.802734375"
"160.0","267.802734375"
"161.0","267.802734375"
"162.0","267.802734375"
"163.0","267.802734375"
"164.0","267.802734375"
"165.0","267.890625"
"166.0","267.802734375"
