Sample:float,Data:float
"0.0","0.0"
"1.0","0.0"
"2.0","0.0"
"3.0","0.0"
"4.0","0.0"
"5.0","0.0"
"6.0","0.0"
"7.0","0.0"
"8.0","0.0"
"9.0","0.0"
"10.0","0.0"
"11.0","0.0"
"12.0","0.0"
"13.0","0.0"
"14.0","0.0"
"15.0","0.0"
"16.0","0.0"
"17.0","0.0"
"18.0","0.0"
"19.0","0.0"
"20.0","0.0"
"21.0","0.0"
"22.0","0.0"
"23.0","0.0"
"24.0","103.18359375"
"25.0","109.072265625"
"26.0","166.552734375"
"27.0","221.748046875"
"28.0","265.60546875"
"29.0","276.943359375"
"30.0","269.47265625"
"31.0","267.978515625"
"32.0","267.978515625"
"33.0","268.06640625"
"34.0","268.06640625"
"35.0","273.8671875"
"36.0","269.47265625"
"37.0","269.208984375"
"38.0","269.12109375"
"39.0","269.033203125"
"40.0","269.12109375"
"41.0","274.833984375"
"42.0","270.17578125"
"43.0","268.154296875"
"44.0","268.2421875"
"45.0","268.2421875"
"46.0","268.2421875"
"47.0","268.2421875"
"48.0","268.154296875"
"49.0","268.2421875"
"50.0","268.2421875"
"51.0","268.2421875"
"52.0","268.2421875"
"53.0","268.2421875"
"54.0","268.2421875"
"55.0","268.2421875"
"56.0","268.2421875"
"57.0","268.2421875"
"58.0","268.330078125"
"59.0","268.2421875"
"60.0","268.2421875"
"61.0","268.2421875"
"62.0","268.2421875"
"63.0","268.2421875"
"64.0","268.2421875"
"65.0","268.2421875"
"66.0","268.2421875"
"67.0","268.2421875"
"68.0","268.2421875"
"69.0","268.2421875"
"70.0","268.2421875"
"71.0","268.2421875"
"72.0","268.2421875"
"73.0","268.2421875"
"74.0","268.2421875"
"75.0","268.2421875"
"76.0","268.2421875"
"77.0","268.2421875"
"78.0","268.2421875"
"79.0","268.2421875"
"80.0","268.2421875"
"81.0","268.2421875"
"82.0","268.330078125"
"83.0","268.2421875"
"84.0","268.2421875"
"85.0","268.2421875"
"86.0","268.2421875"
"87.0","268.2421875"
"88.0","268.2421875"
"89.0","268.2421875"
"90.0","268.2421875"
"91.0","268.59375"
"92.0","272.98828125"
"93.0","269.384765625"
"94.0","268.681640625"
"95.0","268.681640625"
"96.0","268.681640625"
"97.0","268.681640625"
"98.0","268.681640625"
"99.0","268.681640625"
"100.0","268.681640625"
"101.0","268.681640625"
"102.0","268.76953125"
"103.0","268.681640625"
"104.0","268.681640625"
"105.0","268.681640625"
"106.0","268.681640625"
"107.0","268.59375"
"108.0","268.681640625"
"109.0","268.681640625"
"110.0","268.681640625"
"111.0","268.681640625"
"112.0","268.681640625"
"113.0","268.681640625"
"114.0","268.681640625"
"115.0","268.681640625"
"116.0","268.857421875"
"117.0","273.69140625"
"118.0","269.6484375"
"119.0","269.47265625"
"120.0","269.208984375"
"121.0","269.208984375"
"122.0","268.857421875"
"123.0","268.857421875"
"124.0","268.857421875"
"125.0","268.857421875"
"126.0","268.857421875"
"127.0","268.857421875"
"128.0","268.857421875"
"129.0","268.857421875"
"130.0","268.76953125"
"131.0","268.857421875"
"132.0","268.857421875"
"133.0","268.857421875"
"134.0","268.857421875"
"135.0","268.857421875"
"136.0","268.857421875"
"137.0","268.857421875"
"138.0","268.76953125"
"139.0","268.76953125"
"140.0","268.857421875"
"141.0","268.857421875"
"142.0","268.857421875"
"143.0","268.857421875"
"144.0","268.857421875"
"145.0","268.857421875"
"146.0","268.857421875"
"147.0","268.76953125"
"148.0","268.76953125"
"149.0","268.857421875"
"150.0","268.76953125"
"151.0","268.857421875"
"152.0","268.857421875"
"153.0","268.857421875"
"154.0","273.955078125"
"155.0","271.23046875"
"156.0","268.681640625"
"157.0","268.59375"
"158.0","268.681640625"
"159.0","268.59375"
"160.0","268.59375"
"161.0","268.59375"
"162.0","268.59375"
"163.0","268.681640625"
"164.0","268.59375"
"165.0","268.59375"
"166.0","268.59375"
"167.0","268.59375"
"168.0","268.681640625"
"169.0","268.59375"
