Sample:float,Data:float
"0.0","0.0"
"1.0","0.0"
"2.0","0.0"
"3.0","0.0"
"4.0","0.0"
"5.0","0.0"
"6.0","0.0"
"7.0","0.0"
"8.0","0.0"
"9.0","0.0"
"10.0","0.0"
"11.0","0.0"
"12.0","0.0"
"13.0","0.0"
"14.0","0.0"
"15.0","0.0"
"16.0","0.0"
"17.0","0.0"
"18.0","0.0"
"19.0","0.0"
"20.0","0.0"
"21.0","126.2109375"
"22.0","111.26953125"
"23.0","180.263671875"
"24.0","235.283203125"
"25.0","271.845703125"
"26.0","274.74609375"
"27.0","265.341796875"
"28.0","266.220703125"
"29.0","267.890625"
"30.0","268.154296875"
"31.0","268.2421875"
"32.0","268.2421875"
"33.0","268.2421875"
"34.0","268.2421875"
"35.0","268.2421875"
"36.0","268.330078125"
"37.0","268.330078125"
"38.0","268.330078125"
"39.0","268.330078125"
"40.0","268.330078125"
"41.0","268.330078125"
"42.0","268.330078125"
"43.0","268.330078125"
"44.0","268.330078125"
"45.0","268.330078125"
"46.0","268.2421875"
"47.0","268.2421875"
"48.0","268.2421875"
"49.0","268.2421875"
"50.0","268.2421875"
"51.0","268.2421875"
"52.0","268.2421875"
"53.0","268.2421875"
"54.0","268.2421875"
"55.0","268.2421875"
"56.0","268.330078125"
"57.0","268.330078125"
"58.0","268.330078125"
"59.0","268.330078125"
"60.0","268.330078125"
"61.0","268.330078125"
"62.0","268.330078125"
"63.0","268.330078125"
"64.0","268.330078125"
"65.0","268.330078125"
"66.0","268.330078125"
"67.0","268.330078125"
"68.0","268.330078125"
"69.0","268.330078125"
"70.0","268.330078125"
"71.0","268.330078125"
"72.0","268.330078125"
"73.0","268.330078125"
"74.0","268.330078125"
"75.0","268.330078125"
"76.0","268.330078125"
"77.0","268.330078125"
"78.0","268.330078125"
"79.0","268.330078125"
"80.0","268.330078125"
"81.0","268.330078125"
"82.0","268.330078125"
"83.0","268.330078125"
"84.0","268.330078125"
"85.0","268.330078125"
"86.0","268.330078125"
"87.0","268.330078125"
"88.0","268.330078125"
"89.0","268.330078125"
"90.0","268.330078125"
"91.0","268.330078125"
"92.0","268.330078125"
"93.0","268.330078125"
"94.0","268.330078125"
"95.0","268.330078125"
"96.0","268.330078125"
"97.0","268.330078125"
"98.0","268.330078125"
"99.0","268.330078125"
"100.0","268.330078125"
"101.0","268.330078125"
"102.0","268.330078125"
"103.0","268.330078125"
"104.0","268.330078125"
"105.0","268.330078125"
"106.0","268.330078125"
"107.0","268.330078125"
"108.0","268.330078125"
"109.0","268.330078125"
"110.0","268.330078125"
"111.0","268.330078125"
"112.0","268.330078125"
"113.0","268.330078125"
"114.0","268.330078125"
"115.0","268.330078125"
"116.0","268.330078125"
"117.0","268.330078125"
"118.0","268.330078125"
"119.0","268.330078125"
"120.0","268.330078125"
"121.0","268.330078125"
"122.0","268.330078125"
"123.0","268.330078125"
"124.0","268.330078125"
"125.0","268.330078125"
"126.0","268.330078125"
"127.0","268.330078125"
"128.0","268.330078125"
"129.0","268.330078125"
"130.0","268.330078125"
"131.0","268.330078125"
"132.0","268.330078125"
"133.0","268.330078125"
"134.0","268.330078125"
"135.0","268.330078125"
"136.0","268.330078125"
"137.0","268.330078125"
"138.0","268.330078125"
"139.0","268.330078125"
"140.0","268.330078125"
"141.0","268.330078125"
"142.0","268.330078125"
"143.0","268.330078125"
"144.0","268.330078125"
"145.0","268.330078125"
"146.0","268.330078125"
"147.0","268.330078125"
"148.0","268.330078125"
"149.0","268.330078125"
"150.0","268.330078125"
"151.0","268.330078125"
"152.0","268.330078125"
"153.0","268.330078125"
"154.0","268.330078125"
"155.0","268.330078125"
"156.0","268.330078125"
"157.0","268.330078125"
"158.0","268.330078125"
