Sample:float,Data:float
"0.0","0.0"
"1.0","0.0"
"2.0","0.0"
"3.0","0.0"
"4.0","0.0"
"5.0","0.0"
"6.0","0.0"
"7.0","0.0"
"8.0","0.0"
"9.0","0.0"
"10.0","0.0"
"11.0","0.0"
"12.0","0.0"
"13.0","0.0"
"14.0","0.0"
"15.0","0.0"
"16.0","0.0"
"17.0","0.0"
"18.0","0.0"
"19.0","0.0"
"20.0","0.0"
"21.0","0.0"
"22.0","0.0"
"23.0","0.0"
"24.0","0.0"
"25.0","0.0"
"26.0","68.73046875"
"27.0","106.34765625"
"28.0","159.873046875"
"29.0","214.98046875"
"30.0","264.375"
"31.0","280.283203125"
"32.0","270.791015625"
"33.0","267.802734375"
"34.0","267.978515625"
"35.0","267.978515625"
"36.0","267.890625"
"37.0","267.978515625"
"38.0","267.978515625"
"39.0","267.978515625"
"40.0","267.978515625"
"41.0","267.978515625"
"42.0","267.978515625"
"43.0","267.978515625"
"44.0","273.427734375"
"45.0","271.40625"
"46.0","268.505859375"
"47.0","268.41796875"
"48.0","268.41796875"
"49.0","268.41796875"
"50.0","268.41796875"
"51.0","268.41796875"
"52.0","268.41796875"
"53.0","268.41796875"
"54.0","268.505859375"
"55.0","268.41796875"
"56.0","268.41796875"
"57.0","268.41796875"
"58.0","268.41796875"
"59.0","268.41796875"
"60.0","268.505859375"
"61.0","268.330078125"
"62.0","268.41796875"
"63.0","268.41796875"
"64.0","268.41796875"
"65.0","268.41796875"
"66.0","268.41796875"
"67.0","268.41796875"
"68.0","268.41796875"
"69.0","268.41796875"
"70.0","268.41796875"
"71.0","268.41796875"
"72.0","268.41796875"
"73.0","268.857421875"
"74.0","268.857421875"
"75.0","268.9453125"
"76.0","268.857421875"
"77.0","268.9453125"
"78.0","268.857421875"
"79.0","268.857421875"
"80.0","268.857421875"
"81.0","268.857421875"
"82.0","268.857421875"
"83.0","268.76953125"
"84.0","268.857421875"
"85.0","268.857421875"
"86.0","268.857421875"
"87.0","268.857421875"
"88.0","268.857421875"
"89.0","268.857421875"
"90.0","268.76953125"
"91.0","268.857421875"
"92.0","268.857421875"
"93.0","268.857421875"
"94.0","268.76953125"
"95.0","268.857421875"
"96.0","268.76953125"
"97.0","268.857421875"
"98.0","268.76953125"
"99.0","268.857421875"
"100.0","268.857421875"
"101.0","268.857421875"
"102.0","268.857421875"
"103.0","268.857421875"
"104.0","268.76953125"
"105.0","268.76953125"
"106.0","268.857421875"
"107.0","268.857421875"
"108.0","268.76953125"
"109.0","269.033203125"
"110.0","269.208984375"
"111.0","269.033203125"
"112.0","269.033203125"
"113.0","269.033203125"
"114.0","268.9453125"
"115.0","268.76953125"
"116.0","268.76953125"
"117.0","268.76953125"
"118.0","268.76953125"
"119.0","268.76953125"
"120.0","268.76953125"
"121.0","268.76953125"
"122.0","268.76953125"
"123.0","268.76953125"
"124.0","268.681640625"
"125.0","268.59375"
"126.0","268.59375"
"127.0","268.59375"
"128.0","268.505859375"
"129.0","268.505859375"
"130.0","268.505859375"
"131.0","268.59375"
"132.0","268.505859375"
"133.0","268.505859375"
"134.0","268.505859375"
"135.0","268.59375"
"136.0","268.505859375"
"137.0","268.505859375"
"138.0","268.59375"
"139.0","268.505859375"
"140.0","268.59375"
"141.0","268.59375"
"142.0","268.505859375"
"143.0","268.505859375"
"144.0","268.505859375"
"145.0","268.505859375"
"146.0","268.505859375"
"147.0","268.505859375"
"148.0","268.505859375"
"149.0","268.59375"
"150.0","268.505859375"
"151.0","268.59375"
"152.0","268.505859375"
"153.0","268.505859375"
"154.0","268.505859375"
"155.0","268.59375"
"156.0","268.505859375"
"157.0","268.505859375"
"158.0","268.505859375"
"159.0","268.505859375"
"160.0","268.59375"
